text,label,source
!!! RT @USER: As a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out...,SAFE,davidson
!!!!! RT @USER: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,OFFENSIVE,davidson
!!!!!!! RT @USER Dawg!!!! RT @USER: You ever fuck a bitch and she start to cry? You be confused as shit,OFFENSIVE,davidson
!!!!!!!!! RT @USER: @USER she look like a tranny,OFFENSIVE,davidson
!!!!!!!!!!!!! RT @USER: The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,OFFENSIVE,davidson
"!!!!!!!!!!!!!!!!!!""@USER: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! 😂😂😂""",OFFENSIVE,davidson
"!!!!!!""@USER: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",OFFENSIVE,davidson
!!!!“@USER: cause I'm tired of you big bitches coming for us skinny girls!!”,OFFENSIVE,davidson
""" & you might not get ya bitch back & thats that """,OFFENSIVE,davidson
""" @USER :hobbies include: fighting Mariam"" bitch",OFFENSIVE,davidson
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",OFFENSIVE,davidson
""" Murda Gang bitch its Gang Land """,OFFENSIVE,davidson
""" So hoes that smoke are losers ? "" yea ... go on IG",OFFENSIVE,davidson
""" bad bitches is the only thing that i like """,OFFENSIVE,davidson
""" bitch get up off me """,OFFENSIVE,davidson
""" bitch nigga miss me with it """,OFFENSIVE,davidson
""" bitch plz whatever """,OFFENSIVE,davidson
""" bitch who do you love """,OFFENSIVE,davidson
""" bitches get cut off everyday B """,OFFENSIVE,davidson
""" black bottle & a bad bitch """,OFFENSIVE,davidson
""" broke bitch cant tell me nothing """,OFFENSIVE,davidson
""" cancel that bitch like Nino """,OFFENSIVE,davidson
""" cant you see these hoes wont change """,OFFENSIVE,davidson
""" fuck no that bitch dont even suck dick "" 😂😂😂 the Kermit videos bout to fuck IG up",OFFENSIVE,davidson
""" got ya bitch tip toeing on my hardwood floors "" 😂 URL",OFFENSIVE,davidson
""" her pussy lips like Heaven doors "" 😌",OFFENSIVE,davidson
""" hoe what its hitting for """,OFFENSIVE,davidson
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" 😌",OFFENSIVE,davidson
""" i need a trippy bitch who fuck on Hennessy """,OFFENSIVE,davidson
""" i spend my money how i want bitch its my business """,OFFENSIVE,davidson
""" i txt my old bitch my new bitch pussy wetter """,OFFENSIVE,davidson
""" i'd say im back to the old me but my old bitches would get excited "" 😌",OFFENSIVE,davidson
""" if you aint bout that Murder Game pussy nigga shut up """,OFFENSIVE,davidson
""" if you're toes ain't done you pussy stinks """,OFFENSIVE,davidson
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,OFFENSIVE,davidson
""" is that ya bitch """,OFFENSIVE,davidson
""" it aint nothing to cut a bitch off """,OFFENSIVE,davidson
""" jus meet son now he ya mane ass bitches "" #Shots",OFFENSIVE,davidson
""" lames crying over hoes thats tears of a clown """,OFFENSIVE,davidson
""" like Snoop said in 94 we dont love these hoes """,OFFENSIVE,davidson
""" momma said no pussy cats inside my doghouse """,SAFE,davidson
""" most hated but the hoes favorite "" #2MW #SevenOne # URL",OFFENSIVE,davidson
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" URL",OFFENSIVE,davidson
""" pimps up pimps up hoes down "" Future voice",OFFENSIVE,davidson
""" post a picture of that pussy get 200 likes """,OFFENSIVE,davidson
""" pussy is a powerful drug "" 😅 #HappyHumpDay URL",OFFENSIVE,davidson
""" quick piece of pussy call it a drive by """,OFFENSIVE,davidson
""" running round here like some brand new pussy thats bout to get fucked """,OFFENSIVE,davidson
""" these bitches even worst they'll send them guys for you """,OFFENSIVE,davidson
""" these hoes like niggas that spend money not talk bout it """,OFFENSIVE,davidson
""" we dont trust these niggas all these bitches """,OFFENSIVE,davidson
""" yall niggas b cuffing hoes cause yall aint never have bitches """,OFFENSIVE,davidson
""" you dodge a bullet "" 😅 “@USER: ""All da bitches I cut off pregnant or bound to be ....thank God 🙏""”",OFFENSIVE,davidson
""" young Pill Chamberlain these bitches love my music """,OFFENSIVE,davidson
"""😂😂😂😂😂😂😂😂😂😂😂@USER: Teanna Trump probably cleaner than most of these twitter hoes but.........""",OFFENSIVE,davidson
"""😂😂😂😂😂😂😂😂😂😂@USER: Gay niggas couldn't wait to act like bitches tonight""",OFFENSIVE,davidson
