text,label,source
@USER @USER @USER @USER Awesome🔥🔥🔥🔥❤❤❤❤,SAFE,olid
Like she got a death touch? RT @USER: This bitch standing in front of me looking like rogue from the xmen,OFFENSIVE,davidson
Quit it with that you got hoes shit you ain't got a got damn thanggg witcha ugly ass !!!!!!!,OFFENSIVE,davidson
"@USER 98 civic lx ""stick"" green with shitty paint on some beaner ass wheels with 180k miles no AC and no insurance how's that?",OFFENSIVE,davidson
@USER @USER @USER I'm sure she's worried. Give me a break. Dana is doing a job. You know where u make a living and pay for your own Healthcare etc. You dirt bags that don't even shower crying about gun control should try it.,OFFENSIVE,olid
@USER Gosh dangit!!! IF we only had reasonable replica gun control this craziness wouldn’t happen!! 😉,SAFE,olid
aye jalen can I borrow 50 dollars?? It aint like yu aint got two jobs?? Well can I borrow some pussy? I aint like yu gone give up no head!,OFFENSIVE,davidson
Fuck you bruh Ima look at your young bitch..,OFFENSIVE,davidson
@USER She is demented.,OFFENSIVE,olid
@USER @USER She says she wakes up from sleep thinkin she is gonna get Trump. She needs a Psychiatrist! ASAP,OFFENSIVE,olid
Could you please refrain from being a dumb bitch,OFFENSIVE,davidson
chill zahra im getting crackers rn,OFFENSIVE,davidson
@USER hit that bitch with a bottle,OFFENSIVE,davidson
Weird frosted colored lipgloss is weird...,SAFE,davidson
"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?",HATE,davidson
@USER I'm not a bitch. Take it back.,OFFENSIVE,davidson
@USER Too late. #ANTIFA,SAFE,olid
"""I'm a funky ass honkey."" - @USER 's shout out to @USER tonight before ""Cabaret"" 😂 #JT2020Tour",OFFENSIVE,davidson
Yahhhhhh bitch YAHHHH,OFFENSIVE,davidson
"You boil my blood, just how spoilt and how much ae an arrogant bitch you are. If u try to show off I'll flip nd most likely go nuts #ohwell",OFFENSIVE,davidson
@USER I knew he will b dead 🤣🤣 He is brave 🤣🤣🤣,OFFENSIVE,olid
She fuckin wit a young niggah,OFFENSIVE,davidson
@USER @USER @USER Such as? Cable? He got snapped up pretty quick after he was fired. Not saying he is a good coach but people in the league obviously think so,SAFE,olid
I honestly hate women who bitch & complain about a nigga playing video games when he still makes time for yall...them …,OFFENSIVE,davidson
@USER @USER has always been regarded as UK’s worst ever PM - and that’s by the Conservatives. How he can still get his foot in the door in Europe tells you everything you need to now about its bosses.,SAFE,olid
Ain’t no pussy good enough to get broke while I’m in it,OFFENSIVE,olid
Winning Browns! #cle #clevelandfans #clevelandpride #clevelandbrowns #clevelandsports #browns #brownie… URL,SAFE,davidson
@USER You are right he is a sorry little man...,OFFENSIVE,olid
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Semper fi Marines and Follow ALL MAGA,SAFE,olid
@USER Like if you didn’t get fired from ESPN,OFFENSIVE,olid
"It's a bird! It's a plane! It's a boat! No...It's, it's... a flying human? #lakeerie #cle URL",SAFE,davidson
"@USER Not so much, it's just me alone with myself. The whole You are your worst enemy"" type deal""",SAFE,olid
I'm just on this hoe to laugh,OFFENSIVE,davidson
Lying bitch URL,OFFENSIVE,davidson
@USER EVERYONE? Wow. That must have been an *exhaustive* research project. URL,SAFE,olid
The incredible scales of celestial bodies. URL,SAFE,davidson
"""@USER: @USER @USER @USER @USER yes she is ghetto bitch"" URL",OFFENSIVE,davidson
@USER to HELL with the plasticassed bitch!!,OFFENSIVE,davidson
@USER Tbh if you’re doing international adoption you’re pretty much buying a child 🤷🏿‍♀️. People do spend a lot adopting children bc our system allows people to baby broker for profit. In America if you’re going through an agency you are in part buying a child,SAFE,olid
@USER that fat bitch ruined everything 😂😂 fuck it though I was super burnt,OFFENSIVE,davidson
Did the Italian bird just call Janet a calzone? #UNCLEtweet,SAFE,davidson
I drink unicorn tears... RT @USER: @USER And they say blondes don't age well :) You look like you're 20 :) ho…,SAFE,davidson
“@USER: what would u do? .. 😱 URL that bitch down the stairs!,OFFENSIVE,davidson
@USER 10 brownie points for you,SAFE,davidson
"I promise, the last thing you wanna do is be a bitch to my sister in front of me. Don't poke the lion ..",OFFENSIVE,davidson
"So, Yanks have signed Brian McCann & Jacoby Ellsbury. Rumor has it, they still want Robinson Cano, Babe Ruth, Miguel Cabr…",SAFE,davidson
@USER @USER I think Collins has maybe seen the light given the threats against her from Liberals lately.,SAFE,olid
@USER doubt it cause a bitch aint nothing but a nigga downfall,OFFENSIVE,davidson
She in the mall she balling bitch buy something for me,OFFENSIVE,davidson
@USER Lol did you just do the trump very fine people on both sides? Antifa punches Nazis. Don’t want to be punched? Don’t be nazis oh whaooaaaaa so crazy. OTOH Nazis are literally murdering folks and trying to bomb shit soooo yeah. You’re just a right wing dupe. Sorry that’s the case.,OFFENSIVE,olid
@USER This is not a new tactic for the left.. This is actually their go to tactic they have used throughout the decades. This is a playbook right out the Nazi-socialist playbook..The democratic socialist are today's neo-nazis. Aka antifa. #TheGreatAwakening #MAGA #QAnon,HATE,olid
I don't get what standing on Ya tip toes does for these pics these hoes be taking,OFFENSIVE,davidson
@USER @USER An excellent idea @USER She is so intelligent and relentless.,SAFE,olid
"@USER @USER We have a different opinion of what a better"" gun control law looks like.😎 In one case an illegal alien with NO RIGHT to be here is involved. In the other case Americans have 2A rights. Can u tell the difference between American rights & illegal aliens?""",SAFE,olid
Y'all bitches got to stop pushing away the niggas who really care about y'all for these niggas who don't give a fuck,OFFENSIVE,davidson
Photo: deafreaperventus: wayward-sons-and-fallen-angels: murderous-crows: *gay intensifies* are you saying... URL,OFFENSIVE,davidson
@USER i had a man tell me their body count was 40+ but refused to be with a woman who had more than 5. what the FUCK.,OFFENSIVE,olid
@USER Never would I trust any @USER and especially @USER they sold out to the @USER and stuck Two fingers up to the People of the UK!! #VoteLabour #GE2018NOW #WeAreCorbyn #UnitedWeStand,SAFE,olid
My mom's a fucking cunt dude.,OFFENSIVE,davidson
@USER @USER Where is integrity in any of these Trump hating agencies. Justice only works for liberals.,SAFE,olid
@USER @USER omfg you elitist bitch no one cares what you think! go fuck yourselves are you in china anyway?,OFFENSIVE,davidson
@USER @USER @USER @USER @USER It'll be the lack of a range of good olive oil that will cause my mayhem,SAFE,olid
@USER @USER Liberals were holding that info in case President Trump declassified the Fisa documents. They are fighting fire with fire!,SAFE,olid
@USER You're a piece of shit for saying that FEMA was successful in helping Puerto Rico after hurricane Maria. 3000 people died. You think that's successful? You really have no soul. You're a fucking horrible human being. I don't even think you're human. FUCK YOU!!!,OFFENSIVE,olid
@USER I just really miss you and I know we can drink it off and talk about all of our problems like basic bitches,OFFENSIVE,davidson
@USER @USER << Where'd you go big mouth bitch? Busy Choking on that Cock I told you to find?,OFFENSIVE,davidson
Wait what?? RT @USER: $65 a random number for some pussy.,OFFENSIVE,davidson
Wow I swear I'm gonna cunt punch you,OFFENSIVE,davidson
@USER happy birthday queer,HATE,davidson
' Y'all complaining about thirst traps ? FR ? Theirs models that dress just like that ? Ass out and all STFU . Don't make you a hoe wtf .,OFFENSIVE,davidson
"My taste in music goes from love song to ""pop that pussy bitch"" in like .5 seconds.",OFFENSIVE,davidson
@USER Actually it’s only libs that ACTUALLY follow up on their threats 36 cops murdered so far by libs 100s of cops shot by libs Dozens of republican congressman attempted murder by libs Antifa assaulting on behalf of libs URL,SAFE,olid
